modules,host,guest,comments
kernel/arch/x86/crypto/aes_x86_64,y,y,
kernel/arch/x86/crypto/aesni_intel,y,y,
kernel/arch/x86/crypto/crc32_pclmul,y,y,
kernel/arch/x86/crypto/crc32c_intel,y,y,
kernel/arch/x86/crypto/crct10dif_pclmul,y,y,
kernel/arch/x86/crypto/ghash_clmulni_intel,y,y,
kernel/arch/x86/crypto/glue_helper,y,y,
kernel/arch/x86/crypto/sha256_mb/sha256_mb,y,n,
kernel/arch/x86/events/intel/intel_rapl_perf,y,n,
kernel/arch/x86/events/intel/intel_uncore,y,n,
kernel/arch/x86/kvm/kvm_intel,y,y,
kernel/arch/x86/kvm/kvm,y,y,
kernel/crypto/cbc,n,n,
kernel/crypto/crc32c_generic,y,y,
kernel/crypto/cryptd,y,y,
kernel/crypto/crypto_simd,y,y,
kernel/crypto/hmac,n,n,
kernel/crypto/pcbc,y,y,
kernel/crypto/sha256_generic,y,n,
kernel/drivers/acpi/ac,y,n,
kernel/drivers/acpi/acpi_pad,y,y,
kernel/drivers/acpi/button,y,y,
kernel/drivers/acpi/sbs,y,n,
kernel/drivers/acpi/sbshc,y,n,
kernel/drivers/acpi/video,y,n,
kernel/drivers/ata/ahci,y,n,
kernel/drivers/ata/ata_generic,n,y,
kernel/drivers/ata/ata_piix,n,y,
kernel/drivers/ata/libahci,y,n,
kernel/drivers/ata/libata,y,y,
kernel/drivers/ata/pata_acpi,n,y,
kernel/drivers/base/regmap/regmap_i2c,n,n,
kernel/drivers/base/regmap/regmap_spi,n,n,
kernel/drivers/block/brd,y,y,
kernel/drivers/block/virtio_blk,n,y,
kernel/drivers/char/agp/intel_gtt,y,n,
kernel/drivers/dax/dax,y,n,
kernel/drivers/dma/dw/dw_dmac_core,y,n,
kernel/drivers/dma/dw/dw_dmac_pci,y,n,
kernel/drivers/dma/hsu/hsu_dma,n,n,
kernel/drivers/dma/virt_dma,n,n,
kernel/drivers/gpu/drm/drm,y,n,
kernel/drivers/gpu/drm/drm_kms_helper,y,n,
kernel/drivers/gpu/drm/i915/i915,y,n,
kernel/drivers/hid/hid_apple,y,n,
kernel/drivers/hid/hid_generic,y,n,
kernel/drivers/hid/hid,y,n,
